tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
6084,512412,05/29/2015,29,0,OnCurb,Alive,Good,Quercus rubra,northern red oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1861 STILLWELL AVENUE,10469,Bronx,211,2,Bronx,13,82,34,BX37,BX37,2028400,New York,40.85908893,-73.83158253,1030837.468,252311.6194
7892,111104,06/01/2015,4,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,Harmful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,617 WEST 181 STREET,10033,New York,112,1,Manhattan,10,72,31,MN35,MN35,1027100,New York,40.84978259,-73.93464896,1002329.876,248882.9206
9339,311226,06/03/2015,11,0,OffsetFromCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,46-021 COLDEN STREET,11355,Flushing,407,4,Queens,20,25,16,QN62,QN62,4083700,New York,40.74906168,-73.82178934,1033627.999,212230.2551
2087,314513,05/22/2015,26,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,212-038 16 AVENUE,11360,Bayside,407,4,Queens,19,26,11,QN47,QN47,4099704,New York,40.78461147,-73.77973808,1045246.83,225208.6802
5797,515972,05/29/2015,20,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1196 PELHAM PARKWAY SOUTH,10461,Bronx,211,2,Bronx,13,80,34,BX49,BX49,2029600,New York,40.85727378,-73.85310022,1024886.382,251639.5778
6280,304620,05/29/2015,25,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,33-049 60 PLACE,11377,Woodside,402,4,Queens,26,34,16,QN63,QN63,4029300,New York,40.75249239,-73.90161127,1011509.821,213445.2543
2991,515974,05/26/2015,20,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,832 PELHAM PARKWAY SOUTH,10462,Bronx,211,2,Bronx,13,80,34,BX49,BX49,2022403,New York,40.85684013,-73.86251953,1022281.001,251477.3514
3206,340221,05/26/2015,3,0,OnCurb,Alive,Fair,Tilia cordata,littleleaf linden,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,48-014 111 STREET,11368,Corona,404,4,Queens,21,35,13,QN25,QN25,4038302,New York,40.74649845,-73.85290383,1025008.48,211280.3813
8521,310546,06/02/2015,27,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,91-018 84 STREET,11421,Woodhaven,409,4,Queens,32,38,15,QN53,QN53,4000800,New York,40.6871044,-73.8581883,1023579.255,189638.9282
5281,503215,05/28/2015,2,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,1049 SUMMIT AVENUE,10452,Bronx,204,2,Bronx,8,77,29,BX26,BX26,2018900,New York,40.83446639,-73.93014547,1003580.253,243303.6204
